date,home,away,home_sp,away_sp,bet_side,dk_home,dk_away,dk_home_ml,dk_away_ml,poly_home,poly_away,lgb_home,lgb_away,kalshi_home,kalshi_away,edge,won,pnl,result
2025-09-28,ATL,PIT,Charlie Morton,Johan Oviedo,away,0.594,0.406,-172.0,131.0,0.63,0.37,0.511,0.489,0.63,0.37,0.119,0,-0.37,home_win
2025-09-28,SF,COL,Logan Webb,McCade Brown,away,0.711,0.289,-310.0,225.0,0.72,0.28,0.639,0.361,0.74,0.26,0.101,0,-0.26,home_win
2025-09-30,LAD,CIN,Blake Snell,Hunter Greene,away,0.642,0.358,-205.0,167.0,0.45,0.55,0.517,0.483,0.65,0.35,0.133,0,-0.35,home_win
2025-10-01,NYY,BOS,Carlos Rodón,Brayan Bello,away,0.653,0.347,-217.0,175.0,0.45,0.55,0.517,0.483,0.65,0.35,0.133,0,-0.35,home_win
2025-10-01,LAD,CIN,Yoshinobu Yamamoto,Zack Littell,away,0.692,0.308,-279.0,205.0,0.54,0.46,0.517,0.483,0.72,0.28,0.203,0,-0.28,home_win
2025-10-04,SEA,DET,George Kirby,Troy Melton,away,0.63,0.37,-194.0,158.0,,,0.513,0.487,0.65,0.35,0.137,1,0.65,away_win
2025-10-07,NYY,TOR,Carlos Rodón,Shane Bieber,away,0.619,0.381,-193.0,147.0,,,0.51,0.49,0.62,0.38,0.11,0,-0.38,home_win
2025-10-08,LAD,PHI,Yoshinobu Yamamoto,Aaron Nola,away,0.623,0.377,-188.0,153.0,,,0.51,0.49,0.63,0.37,0.12,1,0.63,away_win
2025-10-08,NYY,TOR,Cam Schlittler,Louis Varland,away,0.606,0.394,-174.0,142.0,,,0.51,0.49,0.61,0.39,0.1,1,0.61,away_win
2025-10-12,TOR,SEA,Kevin Gausman,Bryce Miller,away,0.617,0.383,-191.0,145.0,,,0.51,0.49,0.61,0.39,0.1,1,0.61,away_win
2025-10-16,LAD,MIL,Tyler Glasnow,Aaron Ashby,away,0.599,0.401,-168.0,138.0,,,0.505,0.495,0.61,0.39,0.105,0,-0.39,home_win
2025-10-17,LAD,MIL,Shohei Ohtani,Jose Quintana,away,0.642,0.358,-205.0,167.0,,,0.517,0.483,0.66,0.34,0.143,0,-0.34,home_win
2025-10-27,LAD,TOR,Tyler Glasnow,Max Scherzer,away,0.643,0.357,-206.0,167.0,,,0.517,0.483,0.65,0.35,0.133,0,-0.35,home_win
2025-10-28,LAD,TOR,Shohei Ohtani,Shane Bieber,away,0.643,0.357,-206.0,167.0,,,0.517,0.483,0.64,0.36,0.123,1,0.64,away_win
2025-10-29,LAD,TOR,Blake Snell,Trey Yesavage,away,0.643,0.357,-206.0,167.0,,,0.517,0.483,0.64,0.36,0.123,1,0.64,away_win
