game_pk,game_date,home_team,away_team,home_win,sim_home_wp,kalshi_home_prob,edge,sim_total_runs,sim_home_runs,sim_away_runs,kalshi_volume
778128,2025-04-29,TB,KC,0,0.397,0.6,-0.20299999999999996,9.238,3.984,5.254,24875.0
778127,2025-04-29,TOR,BOS,0,0.433,0.43,0.0030000000000000027,7.741999999999999,3.363,4.379,8295.0
778130,2025-04-29,NYM,AZ,1,0.543,0.58,-0.03699999999999992,9.296,4.734,4.562,13507.0
778125,2025-04-29,CWS,MIL,0,0.505,0.31,0.195,8.405,4.119,4.286,29691.0
778122,2025-04-29,TEX,ATH,1,0.469,0.66,-0.19100000000000006,7.875,3.699,4.176,28073.0
778124,2025-04-29,HOU,DET,1,0.625,0.53,0.09499999999999997,8.581,4.78,3.801,38485.0
778120,2025-04-29,COL,ATL,0,0.478,0.35,0.128,10.578,4.967,5.611,19274.0
778121,2025-04-29,SEA,LAA,1,0.496,0.67,-0.17400000000000004,8.134,3.976,4.158,28674.0
778126,2025-04-29,SD,SF,1,0.435,0.48,-0.044999999999999984,8.926,4.095,4.831,55553.0
778134,2025-04-30,CIN,STL,0,0.554,0.53,0.02400000000000002,9.229,4.816,4.413,10218.0
778119,2025-04-30,CIN,STL,0,0.509,0.53,-0.02100000000000002,8.29,4.129,4.161,10218.0
778110,2025-04-30,HOU,DET,0,0.483,0.52,-0.03700000000000003,8.703,4.226,4.477,54430.0
778102,2025-04-30,COL,ATL,1,0.378,0.28,0.09799999999999998,8.439,3.513,4.926,71786.0
778109,2025-04-30,LAD,MIA,1,0.551,0.76,-0.20899999999999996,10.161999999999999,5.213,4.949,26555.0
778104,2025-04-30,SEA,LAA,1,0.539,0.57,-0.030999999999999917,10.585,5.478,5.107,69089.0
778105,2025-04-30,SD,SF,1,0.498,0.57,-0.07199999999999995,8.571,4.148,4.423,41378.0
778116,2025-04-30,CLE,MIN,1,0.539,0.5,0.039000000000000035,8.456,4.307,4.149,30248.0
778115,2025-04-30,BAL,NYY,1,0.531,0.51,0.02100000000000002,10.939,5.433,5.506,115219.0
778112,2025-04-30,PIT,CHC,1,0.534,0.39,0.14400000000000002,8.629000000000001,4.304,4.325,45753.0
778118,2025-04-30,PHI,WSH,1,0.524,0.68,-0.15600000000000003,8.667000000000002,4.299,4.368,16779.0
778113,2025-04-30,TB,KC,0,0.553,0.6,-0.04699999999999993,7.492,3.901,3.591,20860.0
778114,2025-04-30,TOR,BOS,1,0.537,0.49,0.04700000000000004,9.201,4.64,4.561,67342.0
778117,2025-04-30,NYM,AZ,0,0.479,0.51,-0.031000000000000028,7.723,3.649,4.074,111892.0
778111,2025-04-30,CWS,MIL,0,0.608,0.41,0.198,7.550000000000001,4.128,3.422,34301.0
778106,2025-04-30,TEX,ATH,0,0.49,0.59,-0.09999999999999998,8.326,4.009,4.317,49438.0
778100,2025-05-01,PIT,CHC,0,0.513,0.55,-0.03700000000000003,8.265,4.038,4.227,82843.0
778107,2025-05-01,CIN,STL,1,0.462,0.49,-0.02799999999999997,8.838,4.193,4.645,25704.0
778103,2025-05-01,NYM,AZ,0,0.538,0.61,-0.07199999999999995,8.947,4.723,4.224,58167.0
778097,2025-05-01,TB,KC,0,0.587,0.61,-0.02300000000000002,8.248,4.39,3.858,24940.0
778108,2025-05-01,CLE,MIN,1,0.49,0.48,0.010000000000000009,9.974,4.803,5.171,59171.0
778094,2025-05-01,CWS,MIL,1,0.436,0.41,0.026000000000000023,8.376,3.749,4.627,37143.0
778096,2025-05-01,TEX,ATH,0,0.638,0.57,0.06800000000000006,7.96,4.524,3.436,37735.0
778099,2025-05-01,PHI,WSH,0,0.264,0.63,-0.366,10.067,3.685,6.382,70869.0
778095,2025-05-01,TOR,BOS,1,0.436,0.49,-0.05399999999999999,8.733,3.841,4.892,38051.0
778101,2025-05-01,LAA,DET,0,0.576,0.43,0.14599999999999996,9.487,4.957,4.53,67301.0
778098,2025-05-01,SF,COL,0,0.525,0.71,-0.18499999999999994,9.878,5.014,4.864,73849.0
778087,2025-05-02,CIN,WSH,1,0.599,0.64,-0.041000000000000036,8.049,4.421,3.628,34719.0
778090,2025-05-02,PIT,SD,0,0.4,0.43,-0.02999999999999997,8.497,3.736,4.761,52771.0
778086,2025-05-02,PHI,AZ,1,0.608,0.59,0.018000000000000016,9.118,4.88,4.238,72777.0
778093,2025-05-02,BAL,KC,1,0.518,0.56,-0.04200000000000004,10.841,5.374,5.467,46325.0
778088,2025-05-02,NYY,TB,1,0.517,0.68,-0.16300000000000003,8.864,4.379,4.485,47946.0
778081,2025-05-02,TOR,CLE,1,0.435,0.62,-0.185,10.747,4.849,5.898,75104.0
778089,2025-05-02,BOS,MIN,1,0.445,0.53,-0.08500000000000002,8.817,4.008,4.809,42554.0
778091,2025-05-02,MIA,ATH,0,0.488,0.44,0.04799999999999999,10.889,5.166,5.723,35677.0
778092,2025-05-02,ATL,LAD,0,0.548,0.39,0.15800000000000003,9.759,4.985,4.774,68286.0
778079,2025-05-02,CWS,HOU,1,0.428,0.33,0.09799999999999998,8.616,3.824,4.792,58510.0
778083,2025-05-02,TEX,SEA,0,0.355,0.46,-0.10500000000000004,7.513,3.021,4.492,14585.0
778080,2025-05-02,MIL,CHC,0,0.375,0.48,-0.10499999999999998,8.301,3.446,4.855,10877.0
778084,2025-05-02,STL,NYM,0,0.479,0.49,-0.01100000000000001,8.802,4.153,4.649,28093.0
778085,2025-05-02,LAA,DET,0,0.53,0.37,0.16000000000000003,8.61,4.277,4.333,86712.0
778082,2025-05-02,SF,COL,1,0.656,0.73,-0.07399999999999995,9.897,5.628,4.269,23637.0
778074,2025-05-03,NYY,TB,0,0.524,0.69,-0.16599999999999993,9.141,4.599,4.542,126210.0
778066,2025-05-03,CWS,HOU,0,0.403,0.33,0.07300000000000001,9.056000000000001,3.938,5.118,65576.0
778064,2025-05-03,TOR,CLE,0,0.609,0.6,0.009000000000000008,8.359,4.646,3.713,61567.0
778065,2025-05-03,PIT,SD,0,0.359,0.54,-0.18100000000000005,10.518999999999998,4.507,6.012,112585.0
778069,2025-05-03,SF,COL,1,0.668,0.73,-0.061999999999999944,10.156,5.908,4.248,44326.0
778073,2025-05-03,BOS,MIN,0,0.467,0.54,-0.07300000000000001,9.304,4.335,4.969,65875.0
778075,2025-05-03,MIA,ATH,1,0.361,0.54,-0.17900000000000005,9.783000000000001,4.089,5.694,89265.0
778078,2025-05-03,PHI,AZ,1,0.507,0.54,-0.03300000000000003,8.917,4.341,4.576,38683.0
778077,2025-05-03,CIN,WSH,0,0.513,0.65,-0.137,8.097,4.021,4.076,61505.0
778070,2025-05-03,TEX,SEA,0,0.42,0.45,-0.030000000000000027,8.864,3.992,4.872,75345.0
778071,2025-05-03,MIL,CHC,0,0.387,0.5,-0.11299999999999999,9.917000000000002,4.134,5.783,25820.0
778072,2025-05-03,BAL,KC,0,0.448,0.51,-0.062,9.073,4.146,4.927,50653.0
778076,2025-05-03,ATL,LAD,0,0.548,0.56,-0.01200000000000001,8.565,4.393,4.172,186061.0
778067,2025-05-03,LAA,DET,1,0.452,0.36,0.09200000000000003,10.423,4.812,5.611,107435.0
778053,2025-05-04,STL,NYM,1,0.535,0.89,-0.355,8.768999999999998,4.403,4.366,92174.0
778068,2025-05-04,STL,NYM,1,0.522,0.89,-0.368,8.894,4.433,4.461,92174.0
778062,2025-05-04,BAL,KC,0,0.524,0.56,-0.03600000000000003,9.322,4.689,4.633,33365.0
778051,2025-05-04,PIT,SD,0,0.188,0.5,-0.312,14.158999999999999,4.29,9.869,16470.0
778063,2025-05-04,BOS,MIN,0,0.72,0.66,0.05999999999999994,8.776,5.428,3.348,64947.0
778057,2025-05-04,NYY,TB,0,0.559,0.61,-0.050999999999999934,8.885,4.631,4.254,58621.0
778056,2025-05-04,TOR,CLE,0,0.482,0.5,-0.018000000000000016,8.249,3.934,4.315,49189.0
778061,2025-05-04,MIA,ATH,0,0.554,0.5,0.05400000000000005,9.468,4.88,4.588,44828.0
778059,2025-05-04,PHI,AZ,0,0.575,0.58,-0.0050000000000000044,9.762,5.09,4.672,68416.0
778055,2025-05-04,CWS,HOU,1,0.454,0.39,0.064,8.402999999999999,3.885,4.518,22346.0
778054,2025-05-04,MIL,CHC,1,0.473,0.49,-0.017000000000000015,9.163,4.303,4.86,26201.0
778052,2025-05-04,TEX,SEA,1,0.614,0.62,-0.006000000000000005,7.702,4.283,3.419,16047.0
